,ra_center,dec_center,x0,x1,y0,y1
0,0.0,-90.0,44.998408450514624,-45.0,-88.81226383607364,-88.81219786780035
1,0.0,-88.51239669421487,19.84666266655986,-19.847679176219344,-88.93944528893266,-87.52561851228283
2,36.0,-88.51239669421487,16.152320823780748,-16.36415342188718,-88.93944528893266,-87.52561851228283
3,72.0,-88.51239669421487,19.635846578112773,124.36261415624122,-88.93944528893266,-87.52561851228283
4,108.0,-88.51239669421487,55.635846578112776,160.36261415624122,-88.93944528893266,-87.52561851228283
5,144.0,-88.51239669421487,91.63584657811278,196.3626141562412,-88.93944528893266,-87.52561851228283
6,180.0,-88.51239669421487,127.63584657811278,232.3626141562412,-88.93944528893266,-87.52561851228283
7,216.0,-88.51239669421487,163.63584657811276,268.3626141562412,-88.93944528893266,-87.52561851228283
8,252.0,-88.51239669421487,199.63584657811268,-55.63738584375881,-88.93944528893266,-87.52561851228283
9,288.0,-88.51239669421487,235.63584657811268,-19.637385843758807,-88.93944528893266,-87.52561851228283
10,324.0,-88.51239669421487,16.362614156241214,-16.153337333440163,-88.93944528893266,-87.52561851228283
11,0.0,-87.02479338842974,12.424177178210359,-12.42484599288241,-87.70556203349291,-86.09361246843105
12,22.5,-87.02479338842974,1.022899314299922,43.97601620437251,-87.70556203349291,-86.09361246843105
13,45.0,-87.02479338842974,23.52289931429993,66.47601620437251,-87.70556203349291,-86.09361246843105
14,67.5,-87.02479338842974,46.02289931429989,88.97601620437248,-87.70556203349291,-86.09361246843105
15,90.0,-87.02479338842974,68.52289931429995,111.47601620437253,-87.70556203349291,-86.09361246843105
16,112.5,-87.02479338842974,91.02289931429995,133.97601620437254,-87.70556203349291,-86.09361246843105
17,135.0,-87.02479338842974,113.52289931429992,156.4760162043725,-87.70556203349291,-86.09361246843105
18,157.5,-87.02479338842974,136.0228993142999,178.97601620437248,-87.70556203349291,-86.09361246843105
19,180.0,-87.02479338842974,158.5228993142999,201.47601620437248,-87.70556203349291,-86.09361246843105
20,202.5,-87.02479338842974,181.02289931429988,223.97601620437248,-87.70556203349291,-86.09361246843105
21,225.0,-87.02479338842974,203.52289931429988,246.47601620437248,-87.70556203349291,-86.09361246843105
22,247.5,-87.02479338842974,226.02289931429988,268.97601620437246,-87.70556203349291,-86.09361246843105
23,270.0,-87.02479338842974,248.52289931429988,-68.52398379562754,-87.70556203349291,-86.09361246843105
24,292.5,-87.02479338842974,-88.97710068570001,-46.023983795627544,-87.70556203349291,-86.09361246843105
25,315.0,-87.02479338842974,-66.47710068570012,-23.523983795627657,-87.70556203349291,-86.09361246843105
26,337.5,-87.02479338842974,-43.97710068570012,-1.0239837956275437,-87.70556203349291,-86.09361246843105
27,0.0,-85.53719008264463,9.012751921304146,-9.013244423869708,-86.2811661913881,-84.63131552874809
28,16.363636363636363,-85.53719008264463,3.302359736982495,29.424212260265907,-86.2811661913881,-84.63131552874809
29,32.72727272727273,-85.53719008264463,19.66599610061887,45.787848623902285,-86.2811661913881,-84.63131552874809
